seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5081,200,0.0,0.0,0.0,0.0,0.0,0.18947756042638148,0.28322261202756555
5081,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5081,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.39877969129969515,0.28322261202756555
5082,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.18082507067739662,0.28322261202756555
5082,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5082,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5083,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5083,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5083,1000,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5084,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.1894775604263815,0.28322261202756555
5084,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5084,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.18659339717671988,0.28322261202756555
5085,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.18659339717671988,0.28322261202756555
5085,500,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5085,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5086,200,0.0,0.0,0.0,0.0,0.0,0.2087328524249425,0.28322261202756555
5086,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5086,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5087,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.18822767536543988,0.28322261202756555
5087,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5087,1000,0.8,0.0,0.8,0.08333333333333333,0.0,0.19236172367604312,0.28322261202756555
5088,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5088,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
