nx,tau,confounder,seed,auc_ibd,auc_comparator,delta_auc,positives,channels
30,0,present,129,0.9308943089430894,0.6260162601626016,0.30487804878048785,3,44
30,0,present,130,1.0,0.6422764227642277,0.3577235772357723,3,44
30,0,present,131,0.943089430894309,0.5853658536585366,0.3577235772357724,3,44
30,0,present,132,0.9552845528455285,0.7723577235772358,0.18292682926829273,3,44
30,0,present,133,0.983739837398374,0.6422764227642277,0.3414634146341463,3,44
30,0,present,134,0.943089430894309,0.5934959349593496,0.34959349593495936,3,44
30,0,present,135,0.8414634146341463,0.6097560975609756,0.23170731707317072,3,44
30,0,present,136,0.9552845528455285,0.5934959349593496,0.3617886178861789,3,44
30,0,present,137,0.8455284552845529,0.7317073170731707,0.11382113821138218,3,44
30,0,present,138,0.9715447154471545,0.6097560975609756,0.3617886178861789,3,44
30,0,present,139,0.983739837398374,0.6422764227642277,0.3414634146341463,3,44
30,2,absent,100,0.9761904761904762,1.0,-0.023809523809523836,2,44
30,2,absent,101,0.8511904761904762,0.8095238095238095,0.04166666666666663,2,44
30,2,absent,102,1.0,0.9523809523809523,0.04761904761904767,2,44
30,2,absent,103,0.7797619047619048,0.6666666666666666,0.11309523809523814,2,44
30,2,absent,104,1.0,0.32142857142857145,0.6785714285714286,2,44
30,2,absent,105,0.6488095238095238,0.8333333333333334,-0.18452380952380953,2,44
30,2,absent,106,0.1488095238095238,0.8095238095238095,-0.6607142857142857,2,44
30,2,absent,107,0.9345238095238095,0.9285714285714286,0.005952380952380931,2,44
30,2,absent,108,1.0,0.9166666666666666,0.08333333333333337,2,44
30,2,absent,109,1.0,0.8452380952380952,0.15476190476190477,2,44
30,2,absent,110,0.8988095238095238,0.7380952380952381,0.1607142857142857,2,44
30,2,absent,111,0.9702380952380952,0.8690476190476191,0.10119047619047616,2,44
30,2,absent,112,0.8809523809523809,1.0,-0.11904761904761907,2,44
30,2,absent,113,0.9642857142857143,0.21428571428571427,0.75,2,44
30,2,absent,114,0.9940476190476191,0.6190476190476191,0.375,2,44
30,2,absent,115,0.7916666666666666,0.7738095238095238,0.017857142857142794,2,44
30,2,absent,116,1.0,0.08333333333333333,0.9166666666666666,2,44
30,2,absent,117,1.0,0.9880952380952381,0.011904761904761862,2,44
30,2,absent,118,0.5297619047619048,0.9761904761904762,-0.4464285714285714,2,44
30,2,absent,119,0.9642857142857143,0.6190476190476191,0.34523809523809523,2,44
30,2,absent,120,0.9880952380952381,0.6190476190476191,0.36904761904761907,2,44
30,2,absent,121,0.9821428571428571,0.75,0.2321428571428571,2,44
30,2,absent,122,0.4107142857142857,0.44047619047619047,-0.029761904761904767,2,44
30,2,absent,123,0.9404761904761905,0.8214285714285714,0.11904761904761907,2,44
30,2,absent,124,0.8095238095238095,0.5714285714285714,0.23809523809523814,2,44
30,2,absent,125,0.9761904761904762,0.09523809523809523,0.8809523809523809,2,44
30,2,absent,126,0.9761904761904762,0.9761904761904762,0.0,2,44
30,2,absent,127,0.6071428571428571,0.9047619047619048,-0.29761904761904767,2,44
30,2,absent,128,0.9821428571428571,0.6547619047619048,0.32738095238095233,2,44
30,2,absent,129,1.0,1.0,0.0,2,44
30,2,absent,130,0.8214285714285714,0.8095238095238095,0.011904761904761862,2,44
30,2,absent,131,0.9880952380952381,0.8214285714285714,0.16666666666666674,2,44
30,2,absent,132,1.0,0.047619047619047616,0.9523809523809523,2,44
30,2,absent,133,0.9285714285714286,0.8214285714285714,0.1071428571428572,2,44
30,2,absent,134,0.7321428571428571,0.44047619047619047,0.29166666666666663,2,44
30,2,absent,135,0.9761904761904762,0.9642857142857143,0.011904761904761862,2,44
30,2,absent,136,0.9166666666666666,0.75,0.16666666666666663,2,44
30,2,absent,137,0.6666666666666666,0.6190476190476191,0.04761904761904756,2,44
30,2,absent,138,0.5952380952380952,0.9761904761904762,-0.38095238095238093,2,44
30,2,absent,139,0.9642857142857143,0.9523809523809523,0.011904761904761973,2,44
30,2,present,100,0.9880952380952381,0.2261904761904762,0.761904761904762,2,44
30,2,present,101,0.9285714285714286,0.42857142857142855,0.5,2,44
30,2,present,102,1.0,0.5833333333333334,0.41666666666666663,2,44
30,2,present,103,0.8214285714285714,0.5714285714285714,0.25,2,44
30,2,present,104,1.0,0.2976190476190476,0.7023809523809523,2,44
30,2,present,105,0.7797619047619048,0.25,0.5297619047619048,2,44
30,2,present,106,0.08928571428571429,0.05952380952380952,0.029761904761904767,2,44
